Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Less than high school graduate,Total; Estimate; High school graduate (includes equivalency),Total; Estimate; Some college or associate's degree,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; Population 25 to 34 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 35 to 44 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 45 to 64 years,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher,Total; Estimate; Population 65 years and over,Total; Estimate; High school graduate or higher,Total; Estimate; Bachelor's degree or higher
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",234,6.8,9.8,9,74.4,2752,2.9,3.9,6.3,11.3,3.3,39,33.4,93.3,72.3,1570,99,87,437,89.7,74.8,568,89.1,40.3,177,65,38.4
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",101,24.8,40.6,28.7,5.9,1602,20.6,20.5,21.1,3.6,0.9,17.5,15.9,58.9,33.3,629,81.1,54.7,256,65.6,13.7,389,54,34.2,328,16.8,6.7
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",1476,0,20.3,71.2,8.5,2551,0,2.2,13.8,13.4,1.7,25.4,43.4,97.8,68.8,1181,100,73.8,374,97.1,74.6,577,95.8,88.2,419,94.7,22.7
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",205,0,0,22.4,77.6,1247,0,6.9,14.8,4.9,1.9,45.6,25.9,93.1,71.5,643,95,88.5,70,100,65.7,166,89.2,52.4,368,90.2,51.6
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",176,7.4,0,21.6,71,2942,0.5,1.6,20.8,13.7,4.5,23.3,35.6,97.9,58.9,534,100,84.1,132,100,56.8,907,98.5,59.1,1369,96.6,49.2
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",262,21.4,26.3,24,28.2,1325,14.3,10.9,21.1,13.4,2.6,13.4,24.2,74.8,37.6,637,84.3,54.3,325,76.9,20,313,55.3,20.4,50,62,46
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",738,0,49.5,40.9,9.6,803,6.4,1.5,13.6,2.9,1.5,21.2,53.1,92.2,74.2,370,100,100,148,91.9,83.8,264,80.7,34.8,21,100,47.6
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",475,10.7,0,26.3,62.9,2063,0,4.1,9.9,8.6,2.3,41.3,33.9,95.9,75.1,880,94.5,91.7,190,100,72.6,539,97.6,80.5,454,94.9,37.7
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",118,0,11,22.9,66.1,1280,0,2.2,1.3,5,0,52.8,38.8,97.8,91.6,711,96.1,93.1,280,100,100,220,100,73.2,69,100,100
1400000US42101000803,42101000803,"Census Tract 8.03, Philadelphia County, Pennsylvania",250,18.8,5.2,14.4,61.6,3322,0,0,5.3,5.8,1.4,31.1,56.5,100,87.5,1393,100,95.2,390,100,72.8,844,100,85.4,695,100,83
