Id2,Geography,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more"
19102,ZCTA5 19102,715,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,28,157,183,111,77,92,29,22,0
19103,ZCTA5 19103,4625,85,0,18,30,39,21,15,27,69,61,45,45,95,183,125,95,24,199,170,617,503,903,395,465,169,227
19104,ZCTA5 19104,2963,72,42,27,103,12,98,43,162,118,262,142,128,96,285,82,200,49,333,89,189,213,157,18,43,0,0
19106,ZCTA5 19106,2870,22,0,0,0,0,0,0,0,0,0,0,0,6,15,51,22,12,154,331,630,396,402,283,319,76,151
19107,ZCTA5 19107,1399,0,0,0,0,0,10,0,0,0,0,0,29,31,56,76,77,0,204,113,279,165,193,137,29,0,0
19109,ZCTA5 19109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19111,ZCTA5 19111,13673,140,78,129,48,41,12,10,14,96,130,81,213,280,1549,1668,2935,2114,2549,886,532,60,59,34,9,0,6
19112,ZCTA5 19112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19113,ZCTA5 19113,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,11,0,0,0,0,0,0,0,0
19114,ZCTA5 19114,7780,52,7,60,53,22,0,0,28,0,0,10,32,107,412,437,1706,1712,2034,455,379,112,122,0,15,0,25
19115,ZCTA5 19115,7738,80,7,105,56,37,24,0,14,12,7,14,16,36,354,218,567,807,2120,1419,1306,339,143,4,29,15,9
19116,ZCTA5 19116,7360,118,16,11,18,72,0,8,6,6,27,9,127,75,229,129,434,817,2350,1529,1152,114,87,9,7,0,10
19118,ZCTA5 19118,2000,10,0,0,0,0,4,0,7,0,26,4,5,0,10,20,26,44,137,106,335,312,375,291,175,54,59
19119,ZCTA5 19119,7677,45,30,27,49,0,72,35,24,5,105,213,209,151,434,277,582,689,1191,882,1134,685,456,206,89,19,68
19120,ZCTA5 19120,13270,114,74,57,60,14,55,84,330,680,701,1202,1938,2054,2762,1508,956,255,165,91,64,10,49,8,19,8,12
