Id2,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Occupied housing units; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Owner-occupied housing units; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Renter-occupied housing units; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median household income (dollars),Occupied housing units; Estimate; MONTHLY HOUSING COSTS - Median (dollars),Owner-occupied housing units; Estimate; MONTHLY HOUSING COSTS - Median (dollars),Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS - Median (dollars)
19102,2935,715,2220,97839,82371,99032,1991,1811,2014
19103,14274,4625,9649,70746,112589,55895,1591,1774,1549
19104,15559,2963,12596,21773,42069,17669,876,598,910
19106,6260,2870,3390,101138,121159,82765,1726,1990,1680
19107,6869,1399,5470,50701,107344,42692,1231,1461,1197
19109,0,0,0,-,-,-,-,-,-
19111,23998,13673,10325,44737,61936,31262,959,1051,914
19112,0,0,0,-,-,-,-,-,-
19113,58,38,20,-,103125,-,1355,1375,-
19114,12709,7780,4929,54151,66862,38243,1040,1056,1033
19115,13548,7738,5810,47391,70123,31748,967,1048,944
19116,12714,7360,5354,46325,66841,26314,967,1185,901
19118,4319,2000,2319,79602,140061,55612,1590,2119,1420
19119,11730,7677,4053,57560,78298,36957,1086,1239,967
19120,23069,13270,9799,34720,44282,24168,893,855,936
19121,12075,3665,8410,18877,32135,14204,670,551,726
19122,6087,2498,3589,33448,51653,23782,720,652,751
19123,6757,2061,4696,57793,93464,42155,1257,1488,1171
19124,22518,11489,11029,30276,41874,21824,872,869,874
19125,9368,5695,3673,52500,61701,45773,1003,1020,989
19126,5579,3352,2227,35172,57107,18638,951,1072,884
19127,2378,991,1387,70568,84653,62518,1356,1343,1360
19128,15339,9076,6263,64038,81258,50119,1255,1323,1204
19129,4620,2401,2219,47945,55053,32903,1111,975,1168
19130,12586,5154,7432,71263,100408,54890,1395,1666,1285
19131,17450,7865,9585,31113,41630,22476,875,747,923
19132,13439,6809,6630,22316,27408,18156,636,459,788
19133,8627,3650,4977,18119,21878,14308,544,373,670
19134,20307,10278,10029,27942,35158,20809,760,576,847
19135,11671,7608,4063,41669,47551,27930,855,854,855
19136,12262,7505,4757,46319,56118,32624,903,943,871
19137,3041,2212,829,50461,58986,31467,878,772,996
19138,11405,7987,3418,35536,42702,23799,857,788,945
19139,16121,7008,9113,26356,34375,21866,728,555,827
19140,18036,8221,9815,21630,25422,18791,690,508,802
19141,12218,5984,6234,29235,43818,19243,782,733,792
19142,9483,5030,4453,29972,40143,21686,859,795,933
19143,25465,12840,12625,30797,39756,23667,757,629,826
19144,16882,6114,10768,28046,45323,21915,824,784,838
19145,18142,10909,7233,38211,52102,24706,875,814,923
19146,16160,8332,7828,52433,73460,39186,1059,1141,1005
19147,16579,8748,7831,70057,87566,53873,1272,1372,1214
19148,19364,12858,6506,46108,52859,35433,919,782,990
19149,18710,11051,7659,39889,45360,31963,1023,937,1078
19150,9566,6967,2599,43778,52988,31192,962,939,994
19151,12124,7941,4183,44809,53054,30870,1010,1032,975
19152,12838,7874,4964,49069,62234,27129,1017,1160,946
19153,5338,3146,2192,40921,46563,34211,1041,1037,1043
19154,12108,9858,2250,60170,66147,41595,1116,1138,1088
