Id2,Total Housing Units,"Less than $10,000","$10,000 to $24,999","$25,000-$49,999","$50,000-$99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 to $1,499,999","$1,500,000 to $1,999,999","$2,000,000 or more",Total Subsidized Units
19102,715,0,8,0,0,8,0,0,0,28,157,183,111,77,92,29,22,0,0
19103,4625,85,48,102,315,183,125,95,24,199,170,617,503,903,395,465,169,227,739
19104,2963,72,172,315,746,285,82,200,49,333,89,189,213,157,18,43,0,0,3668
19106,2870,22,0,0,6,15,51,22,12,154,331,630,396,402,283,319,76,151,59
19107,1399,0,0,10,60,56,76,77,0,204,113,279,165,193,137,29,0,0,931
19111,13673,140,255,77,800,1549,1668,2935,2114,2549,886,532,60,59,34,9,0,6,356
19113,38,0,0,0,0,5,0,22,0,11,0,0,0,0,0,0,0,0,0
19114,7780,52,120,50,149,412,437,1706,1712,2034,455,379,112,122,0,15,0,25,6
19115,7738,80,168,75,85,354,218,567,807,2120,1419,1306,339,143,4,29,15,9,214
19116,7360,118,45,86,244,229,129,434,817,2350,1529,1152,114,87,9,7,0,10,576
19118,2000,10,0,11,35,10,20,26,44,137,106,335,312,375,291,175,54,59,0
19119,7677,45,106,131,683,434,277,582,689,1191,882,1134,685,456,206,89,19,68,323
19120,13270,114,191,483,6575,2762,1508,956,255,165,91,64,10,49,8,19,8,12,421
19121,3665,85,285,483,1084,514,150,128,138,389,187,149,46,12,7,8,0,0,5092
19122,2498,31,37,98,452,343,230,380,160,282,275,152,41,17,0,0,0,0,1756
19123,2061,13,0,2,51,28,78,109,23,286,334,614,255,226,8,25,0,9,1991
19124,11489,150,174,621,5140,2463,897,844,600,316,161,60,0,12,0,31,0,20,850
19125,5695,36,55,151,723,464,469,466,590,983,654,824,104,140,0,36,0,0,234
19126,3352,61,37,89,647,528,507,403,145,351,287,228,42,17,0,6,4,0,133
19127,991,9,8,0,71,7,24,135,52,318,187,115,49,16,0,0,0,0,0
19128,9076,116,115,49,160,160,294,587,949,3018,1686,1373,305,178,46,5,0,35,105
19129,2401,39,51,165,412,66,63,285,156,461,295,138,146,86,38,0,0,0,610
19130,5154,18,36,68,186,64,111,192,197,503,647,1277,829,878,108,40,0,0,779
19131,7865,114,202,686,2640,915,754,752,490,507,462,160,74,52,6,51,0,0,2173
19132,6809,323,732,2485,2526,257,167,84,57,5,69,42,30,17,7,8,0,0,1229
19133,3650,320,316,1168,1148,244,62,129,18,37,93,70,28,0,0,0,0,17,1647
19134,10278,192,722,1559,3786,1197,604,817,649,369,117,84,37,68,11,66,0,0,338
19135,7608,55,32,172,2207,2637,1291,678,213,158,96,55,7,7,0,0,0,0,34
19136,7505,107,129,36,827,1248,1472,1596,764,740,244,262,26,36,0,0,0,18,348
19137,2212,18,28,151,444,400,274,404,225,179,59,27,0,0,3,0,0,0,1
19138,7987,198,136,480,2702,1433,1195,821,266,296,264,71,44,23,7,32,7,12,372
19139,7008,107,442,1020,3314,736,387,282,110,205,96,156,78,44,16,8,0,7,2945
19140,8221,125,459,2043,4591,444,27,135,99,90,39,78,0,81,0,10,0,0,1443
19141,5984,59,121,403,2601,1441,494,433,157,90,38,89,38,20,0,0,0,0,941
19142,5030,44,150,506,2822,670,276,324,48,62,80,0,0,26,22,0,0,0,420
19143,12840,110,469,1541,6042,1499,484,471,127,452,457,483,283,308,15,92,0,7,1384
19144,6114,50,98,479,1918,806,357,648,382,551,334,384,32,54,10,0,11,0,2388
19145,10909,141,163,336,1916,1399,1131,1351,925,1349,736,904,370,121,11,0,56,0,1392
19146,8332,15,146,208,1320,642,381,359,284,657,627,1111,948,1253,233,112,22,14,1640
19147,8748,80,67,128,235,419,66,345,327,1082,1160,2094,1144,1065,331,165,24,16,1191
19148,12858,233,164,277,1416,1574,1201,1881,1884,2085,1192,731,142,27,0,32,0,19,394
19149,11051,173,233,118,2163,2495,3047,2026,354,193,19,137,47,12,5,16,0,13,11
19150,6967,87,164,87,693,611,1103,1901,777,839,469,99,44,56,0,37,0,0,2
19151,7941,39,160,283,1827,1596,1377,1333,310,313,265,144,155,102,15,22,0,0,216
19152,7874,83,157,70,155,326,422,1892,1797,2036,494,197,194,12,10,0,19,10,440
19153,3146,4,133,104,529,590,433,649,298,356,23,24,3,0,0,0,0,0,448
19154,9858,124,204,7,209,338,284,1328,2863,3226,710,414,52,35,22,19,9,14,120
