NHPD Property ID,HUD Property Id,Property Name,Property Address,City,State,Zip Code,Total Units,Total Active Subsidies,Property Status,Total Inconclusive Subsidies,Total Inactive Subsidies,Earliest Start Date,Latest End Date,Earliest End Date,Latitude,Longitude,County,County Code,Congressional District,CBSA Type,CBSA ?ode,Census Tract,Manager Name,Manager Type,Owner Name,Owner Type,Occupancy Rate,Average Months of Tenancy,Earliest Construction Date,Latest Construction Date,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,REAC Score 1,Last REAC Date,REAC Score 2,REAC Date 2,REAC Score 3,REAC Date 3,Fair Market Rent,Percent of ELI Households,Target Tenant Type
23df3fdd-d668-e711-806a-005056ba3ab9,800018821,RIVERSIDE PRESBYTERIAN,158 N 23rd St,Philadelphia,PA,19103-1035,151,1,Active,1,0,01/01/2013,12/31/2032,12/31/2032,39.95752,-75.17717,Philadelphia,42101,02,Metropolitan,37980,42101000300,PHILADELPHIA PRESBYTERY HOMES INC,Non-Profit,RIVERSIDE SENIOR APTS LP,Profit Motivated,98,114,01/01/1979,01/01/1979,150,0,0,99a,10/1/2014,99a,10/1/2014,92b,2/3/2010,1266,78,Elderly
728dbbbe-cdff-e611-8115-74d435edc0c2,,WESTMINSTER APARTMENTS,2215 Arch St,Philadelphia,PA,19103-1328,43,0,Inconclusive,1,1,01/01/1993,01/01/2023,01/01/2023,39.95619,-75.1768,Philadelphia,42101,02,Metropolitan,37980,42101000300,,,TJ PROPERTIES INC,For Profit,,,,,12,26,5,,,,,,,1266,,Family
9e998f09-d468-e711-806a-005056ba3ab9,800243398,LIH WALNUT,2042 Arch St,Philadelphia,PA,19103-1470,8,1,Active,0,0,05/01/2016,04/30/2036,04/30/2036,39.95556,-75.17457,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101000401,COLUMBUS PROPERTY MANAGEMENT DEVELOPMENT INC,Non-Profit,ARCH VII LIH WALNUT ASSOCIATES LP,Profit Motivated,,,,,0,3,5,,,,,,,1266,,
69bf2e65-cdff-e611-8115-74d435edc0c2,800018871,JOHN FOX TOWERS,22 S 22nd St,Philadelphia,PA,19103-3005,273,1,Active,0,2,12/01/1968,12/21/2036,12/21/2036,39.95371,-75.17682,Philadelphia,42101,02,Metropolitan,37980,42101000401,PRUDENT PROPERTY MANAGERS INC,Multiple,JOHN FOX HOUSING PARTNERS LP,Multiple,99,88,01/01/1981,01/01/1981,260,,,91a,1/23/2013,91a,1/23/2013,86c,8/13/2009,1266,94,Elderly
5e0cb5ca-cdff-e611-8115-74d435edc0c2,,MID-CITY YWCA APARTMENTS,2025 Chestnut St,Philadelphia,PA,19103-3301,60,1,Active,0,1,01/01/1998,01/01/2029,01/01/2029,39.95223,-75.17425,Philadelphia,42101,02,Metropolitan,37980,42101000401,,,INGERMAN GROUP,For Profit,,,,,60,,,,,,,,,1266,,
7b7a6906-ceff-e611-8115-74d435edc0c2,,MID CITY YMCA,2017 Chestnut St,Philadelphia,PA,19103-3307,60,0,Inactive,0,1,06/01/2001,06/01/2006,06/01/2006,39.95228,-75.17414,Philadelphia,42101,02,Metropolitan Statistical Area,37980,42101000401,,,MID-CITY RESIDENTIAL ASSOCIATES,,,,,,,,,,,,,,,1266,,
c0d7a5d6-cdff-e611-8115-74d435edc0c2,,KATES PLACE,1929 Sansom St,Philadelphia,PA,19103-4624,144,1,Active,0,0,01/01/2004,01/01/2034,01/01/2034,39.95124,-75.17252,Philadelphia,42101,02,Metropolitan,37980,42101000700,,,PROJECT HOME,Non-Profit,,,,,,,,,,,,,,1266,,Family
f9a6e4db-d568-e711-806a-005056ba3ab9,,FAIRMOUNT GARDENS,FAIRMOUNT AVE,PHILADELPHIA,PA,19104,55,0,Inactive,0,1,01/01/2014,01/01/2044,01/01/2044,39.964511,-75.210845,,42101,,,37964,42101010500,,,,,,,,,,,,,,,,,,1266,,
cd7a6906-ceff-e611-8115-74d435edc0c2,,ST IGNATIOUS SENIOR HOUSING-RDA,4402 Fairmount Ave,Philadelphia,PA,19104,67,1,Active,0,0,04/30/2003,04/30/2023,04/30/2023,39.96447,-75.21132,Philadelphia,42101,02,Metropolitan,37980,42101010500,,,ANGELA COURT,,,,,,,,,,,,,,,1266,,
057c96e2-cdff-e611-8115-74d435edc0c2,,PHILADELPHIA,806 N 44TH ST,PHILADELPHIA,PA,19104,72,1,Active,0,0,06/05/2001,06/05/2021,06/05/2021,39.966887,-75.211321,Philadelphia,42101,02,Metropolitan,37980,42101010600,,,WEST MILL CREEK ASSOC III LP,,,,,,,,,,,,,,,1266,,
d931414e-ceff-e611-8115-74d435edc0c2,,BERNICE ELZA HOMES - PEC CDC,3803 Brandywine St,Philadelphia,PA,19104,6,1,Active,0,0,07/12/2011,07/12/2031,07/12/2031,39.96294,-75.19737,Philadelphia,42101,,,,42101010800,,,PEOPLE'S EMERGENCY CENTER CDC,,,,,,,,,,,,,,,1266,,
e131414e-ceff-e611-8115-74d435edc0c2,,IMANI V,3844 Haverford Ave,Philadelphia,PA,19104,11,1,Active,0,0,12/31/2006,12/31/2021,12/31/2021,39.96311,-75.19813,Philadelphia,42101,,,,42101010800,,,PEOPLE'S EMERGENCY CENTER-CDC,,,,,,,,,,,,,,,1266,,
1932414e-ceff-e611-8115-74d435edc0c2,,CLOISTERS III (PEC),526 N 38th St,Philadelphia,PA,19104,50,0,Inactive,0,1,06/30/2011,06/30/2016,06/30/2016,39.96306,-75.19753,Philadelphia,42101,,,,42101010800,,,CLOISTERS III HOUSING PARTNERSHIP,,,,,,,,,,,,,,,1266,,
4932414e-ceff-e611-8115-74d435edc0c2,,JANNIE'S PLACE,611 N 39th St,Philadelphia,PA,19104,29,1,Active,0,0,12/17/2012,12/17/2032,12/17/2032,39.96356,-75.19948,Philadelphia,42101,,,,42101010800,,,,,,,,,,,,,,,,,,1266,,
4009610c-ceff-e611-8115-74d435edc0c2,,CBMO - Mantua,755 N 38th St,Philadelphia,PA,19104,24,0,Inactive,0,1,,,,39.96742,-75.19791,Philadelphia,42101,02,Metropolitan,37980,42101010800,Philadelphia Housing Authority,,Philadelphia Housing Authority,,,,,,,,,,,,,,,1266,,
